መኖሪያ ; [226, 226]
ወደምትባል ; [10430]
የእስራኤል ; [332]
ከተማ ; [2193, 16]
መጣ ; [1280, 1280, 3, 3, 1]
የለም ; [1849, 1849, 16]
አልቻለም ; [5530, 5530]
የምሰራው ; [899, 899, 899, 899]
ብትቆይ ; [1, 1]
ብትሄድ ; [1644]
አስባ ; [812, 812, 812, 812]
እውነቱን ; [96, 2, 1]
አፈላ ; [17, 17, 17, 17]
ተመልሶ ; [383, 1]
አዳነው ; [122, 122]
የምትሰጋ ; [9, 9]
ወደዚያ ; [2585, 1]
አትላክ ; [343, 343]
ለተማሪዎቹ ; [549]
ሰጣቸው ; [570, 2, 1]
ቀጭኑ ; [1, 1, 1]
በጎች ; [105, 52]
ገዛ ; [79, 79]
አሉ ; [10430, 10430, 1849, 1849, 1]
አለዋወጣቸው ; [84, 1]
ሲል ; [10430, 1]
ሰጠ ; [570, 1]
ልጠግነው ; [14, 14]
የላትም ; [1849, 1849, 5]
ፈለግህን ; [1437, 24]
አልቀረም ; [594, 594]
ተደባደቡ ; [24, 24]
ሊመጣ ; [1280, 1280]
የገዛ ; [79, 7]
ችሎታ ; [5530, 165]
በኖረኝ ; [380, 380]
ሳጥን ; [12, 2]
ጫማ ; [23, 4, 4, 4, 4]
መጠርጠር ; [10]
ዘበት ; [17]
ሰማ ; [420, 420, 1]
አልመጣም ; [1280, 1280, 1280, 1280, 1280, 1280]
ስላለ ; [10430, 1849]
አልጠበቅሁትም ; [357, 357]
በለጠች ; [568, 1]
በዚያ ; [2585, 1]
አልሰርዝም ; [15, 15]
ትናንትና ; [267, 267]
ጠፋበት ; [351, 1]
ዛፉ ; [189, 1]
ሥር ; [213, 213]
ሄደና ; [1644, 1644, 1644]
ልብሱ ; [96]
ተገዛላት ; [79, 79]
አምጣ ; [1280, 1280, 1, 1, 1, 1, 1, 1]
እንዳለኝ ; [10430, 10430, 1849, 1849]
አልሰማሁም ; [420, 420]
ልሠራው ; [899, 899, 899]
ከቻልኩ ; [5530, 5530]
ጠጅ ; [31]
ይፈራሉ ; [108, 108]
እያለ ; [10430, 1849]
ምሳዬን ; [14, 14]
አልበላሁም ; [123, 123]
ብለው ; [10430, 10430]
ፀሐይ ; [171, 171]
ሳይኖር ; [380, 380]
በርበሬ ; [23]
ቅቤም ; [4, 4]
አርፍዳ ; [10, 10, 10]
እንደምትመጣ ; [1280, 1280]
ልክ ; [368, 368]
ስንደርስ ; [1724, 1724]
ወደከተማ ; [2193]
ገዝቶ ; [79, 1]
አዳመጠች ; [2]
ተከተሉ ; [1, 1]
ተሽቀዳደሙ ; [1, 1]
ተለዋወጡ ; [84, 84]
የወረደው ; [263, 263]
እንዳይነካው ; [45, 45]
ጉዳይ ; [2524]
እጅግ ; [516, 516, 1]
አሳሳቢ ; [108, 1, 1]
ሰልፉ ; [30, 1]
የምትደንሺው ; [8, 8]
እነሱም ; [312, 217, 40]
ታደሰ ; [17, 1]
ኃይሉና ; [1259, 1]
ተፈራ ; [108, 108, 108, 108, 1]
አልጋም ; [57, 2, 1]
መቀመጫም ; [95]
አለበት ; [10430, 10430, 1849, 1849]
ላክልኝ ; [343, 343, 50, 18, 1]
ከዚህ ; [14266, 1]
ቢያዳምጣትስ ; [2]
ኖሮ ; [380, 189]
ከመኪና ; [137, 1]
ተዋጣ ; [805, 805, 805, 805, 56, 56]
ብትዘጋው ; [62, 62]
ወይዘሮ ; [335, 335]
አንድ ; [2798, 2798, 105]
ዛሬ ; [655, 655, 4]
አልተሰናዳህምሳ ; [1, 1]
አዳዲስ ; [38, 1, 1]
ጮማ ; [8]
ሰጣት ; [570, 1]
ዘነበ ; [32, 1]
ስትገባ ; [959, 959]
እርስ ; [140, 19]
ዐሥር ; [116, 116, 116, 16]
ብር ; [1320, 1320]
የበላው ; [123, 123]
በዛሬ ; [655, 4]
ፈረሱን ; [96, 78, 78]
ካሉበት ; [10430, 10430, 1849, 1849]
በኋላ ; [1873, 132]
አግዝሻለሁ ; [17, 1]
በላት ; [10430, 123, 5]
ለአለም ; [1035, 1]
መሞቱን ; [76]
ተረዱ ; [88, 88]
ብላበት ; [10430, 123]
ሁሉም ; [2503, 2]
ያለበት ; [10430, 1849, 3]
በለቀቀኝ ; [200, 200]
ባወቅሁ ; [1643, 1643]
አንደኛ ; [380, 105]
አንሰራም ; [899, 899, 899, 899, 899, 899, 899, 899]
ነህ ; [1, 1]
አባትሽ ; [448, 2]
